State Code,State Name,Latitude,Longitude
WI,Wisconsin,44.5,-89.5
WV,West Virginia,39,-80.5
VT,Vermont,44,-72.699997
TX,Texas,31,-100
SD,South Dakota,44.5,-100
RI,Rhode Island,41.700001,-71.5
OR,Oregon,44,-120.5
NY,New York,43,-75
NH,New Hampshire,44,-71.5
NE,Nebraska,41.5,-100
KS,Kansas,38.5,-98
MS,Mississippi,33,-90
IL,Illinois,40,-89
DE,Delaware,39,-75.5
CT,Connecticut,41.599998,-72.699997
AR,Arkansas,34.799999,-92.199997
IN,Indiana,40.273502,-86.126976
MO,Missouri,38.573936,-92.60376
FL,Florida,27.994402,-81.760254
NV,Nevada,39.876019,-117.224121
ME,Maine,45.367584,-68.972168
MI,Michigan,44.182205,-84.506836
GA,Georgia,33.247875,-83.441162
HI,Hawaii,19.741755,-155.844437
AK,Alaska,66.160507,-153.369141
TN,Tennessee,35.860119,-86.660156
VA,Virginia,37.926868,-78.024902
NJ,New Jersey,39.833851,-74.871826
KY,Kentucky,37.839333,-84.27002
ND,North Dakota,47.650589,-100.437012
MN,Minnesota,46.39241,-94.63623
OK,Oklahoma,36.084621,-96.921387
MT,Montana,46.96526,-109.533691
WA,Washington,47.751076,-120.740135
UT,Utah,39.41922,-111.950684
CO,Colorado,39.113014,-105.358887
OH,Ohio,40.367474,-82.996216
AL,Alabama,32.31823,-86.902298
IA,Iowa,42.032974,-93.581543
NM,New Mexico,34.307144,-106.018066
SC,South Carolina,33.836082,-81.163727
PA,Pennsylvania,41.203323,-77.194527
AZ,Arizona,34.048927,-111.093735
MD,Maryland,39.045753,-76.641273
MA,Massachusetts,42.407211,-71.382439
CA,California,36.778259,-119.417931
ID,Idaho,44.068203,-114.742043
WY,Wyoming,43.07597,-107.290283
NC,North Carolina,35.782169,-80.793457
LA,Louisiana,30.39183,-92.329102
D.C.,Washington DC,38.9072,-77.0369
DC,D.C.,38.9072,-77.0369
District of Columbia,D.C.,38.9072,-77.0369
Guam,Guam,13.4443,144.7937
Puerto Rico,Puerto Rico,18.2208,66.5901
Virgin Islands,Virgin Islands,18.3358,64.8963
Diamond Princess,Diamond Princess,,
Grand Princess,Grand Princess,,